,,Time in,Minutes,,,,
Date,Problem Link,Alloted,Spent,Status,Comments,Redo?,
8/9/2023, https://leetcode.com/problems/count-good-nodes-in-binary-tree,30,19.7, Completed, Took a bit of time to get in the flow, NO,
8/10/2023, https://leetcode.com/problems/validate-binary-search-tree,20,33.16666667, Completed With Hints, Intuition missed, YES,
8/11/2023, https://leetcode.com/problems/subsets/,20,66.33333333, Redo, Complete mess, YES,
8/12/2023, https://leetcode.com/problems/subsets,1,0, Redo, Subsets. Understand time complexity, NO,
8/12/2023, https://leetcode.com/problems/combination-sum/,30,44.21666667, Redo, Evening blues??, YES,
8/13/2023, https://leetcode.com/problems/combination-sum,20,32.21666667, Completed With Hints, Took time to figure out that only 2 cases need to be backtracked. Ignore current and Include current. Including multiple current is handled by not incrementing the startpointer, YES,
8/13/2023, https://leetcode.com/problems/combination-sum-iii,20,12.48333333, Completed With Hints, Didn't read question properly to understand nuances. INSIGHT: Read examples, try to break, NO
8/13/2023, https://leetcode.com/problems/permutations,20,35.25, Completed With Hints, No need to over-optimize and use Q, YES,
8/17/2023, https://leetcode.com/problems/subsets-ii/description/, 30, 33.85, Completed With Hints, , YES
8/22/2023, https://leetcode.com/problems/word-search, 20, 28.8, Redo, , YES
8/22/2023, https://leetcode.com/problems/n-queens, 20, 42.33333333333333, Redo, , YES
8/23/2023, https://leetcode.com/problems/n-queens, 30, 0.03333333333333499, Redo, looked at solution. wrote code, NO
8/23/2023, https://leetcode.com/problems/subsets-ii, 20, 21.95, Redo, , YES
8/23/2023, https://leetcode.com/problems/combination-sum-ii, 20, 13.45, Redo, need to understand why when duplicates are allowed, we don't need to call backtrack without adding current item, NO
8/23/2023, https://leetcode.com/problems/word-search, 20, 11.3, Completed, , NO
8/23/2023, https://leetcode.com/problems/palindrome-partitioning, 20, 26.2, Completed, took a bit of time to iron out the conditions, YES
8/23/2023, https://leetcode.com/problems/letter-combinations-of-a-phone-number/, 20, 22.683333333333334, Redo, fternoon blues, YES
8/24/2023, https://leetcode.com/problems/letter-combinations-of-a-phone-number, 20, 23.03333333333333, Completed With Hints, , YES
8/24/2023, https://leetcode.com/problems/implement-trie-prefix-tree, 20, 22.133333333333333, Completed With Hints,  datastructure to use was not clear, NO
8/24/2023, https://leetcode.com/problems/design-add-and-search-words-data-structure, 20, 0, Redo, i,j confusion causing lots of problems, NO
8/24/2023, https://leetcode.com/problems/number-of-islands/, 20, 23.7, Redo, , YES
8/24/2023, https://leetcode.com/problems/number-of-islands, 10, 24.483333333333334, Redo, silly mistakes, YES
8/24/2023, https://leetcode.com/problems/clone-graph, 20, 10.583333333333334, Completed With Hints, careless mistakes, NO
8/24/2023, https://leetcode.com/problems/max-area-of-island, 20, 4.666666666666666, Completed, , NO
8/25/2023, https://leetcode.com/problems/pacific-atlantic-water-flow/, 20, 3.166666666666668, Redo, , NO
